handle,title,vendor,formattedcode,gram,qty,price,archived,archivedon,addedon,lastfetcheddate
japanese-oak-reor23038,Japanese Oak REOR2303 Great Oregon,republicfloor,republicfloor-REOR2303,27215.5422,100000,186.63,,,25-05-2021,25-05-2021
holm-oak-reor23027,Holm Oak REOR2302 Great Oregon,republicfloor,republicfloor-REOR2302,27215.5422,100000,186.63,,,25-05-2021,25-05-2021
water-oak-reor23016,Water Oak REOR2301 Great Oregon,republicfloor,republicfloor-REOR2301,27215.5422,100000,186.63,,,25-05-2021,25-05-2021
bluff-oak-reca22065,Vinyl Bluff Oak RECA2206 Great California,republicfloor,republicfloor-RECA2206,0,0,0,,,25-05-2021,25-05-2021
cherrybark-oak-reca22054,Cherrybark Oak RECA2205 Great California,republicfloor,republicfloor-RECA2205,0,0,0,,,25-05-2021,25-05-2021
willow-oak-reca22043,Willow Oak RECA2204 Great California,republicfloor,republicfloor-RECA2204,27215.5422,100000,186.63,,,25-05-2021,25-05-2021
laurel-oak-reca22022,Vinyl Laurel Oak RECA2202 Great California,republicfloor,republicfloor-RECA2202,27215.5422,100000,186.63,,,25-05-2021,25-05-2021
california-black-oak-reca22011,Vinyl California Black Oak RECA2201 Great California,republicfloor,republicfloor-RECA2201,27215.5422,100000,186.63,,,25-05-2021,25-05-2021
grasse-refr105054,Grasse REFR1050,republicfloor,republicfloor-REFR1050,0,0,0,,,25-05-2021,25-05-2021
saint-jean-refr104053,Saint Jean REFR1040,republicfloor,republicfloor-REFR1040,0,0,0,,,25-05-2021,25-05-2021
saint-laurent-refr103052,Saint Laurent REFR1030,republicfloor,republicfloor-REFR1030,0,0,0,,,25-05-2021,25-05-2021
cannes-refr102051,Cannes REFR1020,republicfloor,republicfloor-REFR1020,0,0,0,,,25-05-2021,25-05-2021
saint-tropez-refr101050,Saint Tropez REFR1010,republicfloor,republicfloor-REFR1010,0,0,0,,,25-05-2021,25-05-2021
aztec-gold-reva89049,Aztec Gold REVA890,republicfloor,republicfloor-REVA890,0,0,0,,,25-05-2021,25-05-2021
monarch-chateau-revmc85048,Monarch Chateau REVMC850,republicfloor,republicfloor-REVMC850,0,0,0,,,25-05-2021,25-05-2021
york-town-revyo83047,York Town REVYO830,republicfloor,republicfloor-REVYO830,0,0,0,,,25-05-2021,25-05-2021
dark-knight-revdk81046,Dark Knight REVDK810,republicfloor,republicfloor-REVDK810,0,0,0,,,25-05-2021,25-05-2021
dark-almo-revda80045,Dark Almo REVDA800,republicfloor,republicfloor-REVDA800,0,0,0,,,25-05-2021,25-05-2021
french-gray-reet95044,French Gray REET950 Fortress Random Length,republicfloor,republicfloor-REET950,0,0,0,,,25-05-2021,25-05-2021
golden-ash-reet91043,Golden Ash REET910 Fortress Random Length,republicfloor,republicfloor-REET910,22679.6185,100000,66.95,,,25-05-2021,25-05-2021
country-maple-reetbw88442,Country Maple REETBW884 Fortress Random Length,republicfloor,republicfloor-REETBW884,22679.6185,100000,66.95,,,25-05-2021,25-05-2021
country-walnut-reetbw88541,Country Walnut REETBW885 Fortress Random Length,republicfloor,republicfloor-REETBW885,22679.6185,100000,66.95,,,25-05-2021,25-05-2021
country-cedar-reetbw88340,Country Cedar REETBW883 Fortress Random Length,republicfloor,republicfloor-REETBW883,22679.6185,100000,66.95,,,25-05-2021,25-05-2021
pecan-reet-7939,Pecan REET-79 Fortress,republicfloor,republicfloor-REET-79,22679.6185,1000000,60.21,,,25-05-2021,25-05-2021
java-reet-7838,Laminate Java REET-78 Fortress,republicfloor,republicfloor-REET-78,22679.6185,1000000,60.21,,,25-05-2021,25-05-2021
chestnut-reet-7737,Chestnut REET-77 Fortress,republicfloor,republicfloor-REET-77,22679.6185,1000000,60.21,,,25-05-2021,25-05-2021
latte-reet-7636,Latte REET-76 Fortress,republicfloor,republicfloor-REET-76,22679.6185,1000000,60.21,,,25-05-2021,25-05-2021
cathedral-gray-reet-7535,Laminate Cathedral Gray REET-75 Fortress,republicfloor,republicfloor-REET-75,22679.6185,1000000,60.21,,,25-05-2021,25-05-2021
sand-dollar-reet-3634,Sand Dollar REET-36 Fortress,republicfloor,republicfloor-REET-36,0,0,0,,,25-05-2021,25-05-2021
ibiza-reet-3233,Ibiza REET-32 Fortress,republicfloor,republicfloor-REET-32,22679.6185,100000,71.15,,,25-05-2021,25-05-2021
rio-reet-3132,Rio REET-31 Fortress,republicfloor,republicfloor-REET-31,0,100000,71.15,,,25-05-2021,25-05-2021
havana-reet-3031,Havana REET-30 Fortress,republicfloor,republicfloor-REET-30,22679.6185,100000,71.15,,,25-05-2021,25-05-2021
west-village-reur780-1230,West Village REUR780-12 Urbanica 12mm,republicfloor,republicfloor-REUR780-12,0,0,0,,,25-05-2021,25-05-2021
fifth-avenue-reur770-1229,Fifth Avenue REUR770-12 Urbanica 12mm,republicfloor,republicfloor-REUR770-12,22679.6185,100000,61,,,25-05-2021,25-05-2021
soho-reur760-1228,Soho REUR760-12 Urbanica 12mm,republicfloor,republicfloor-REUR760-12,22679.6185,100000,61,,,25-05-2021,25-05-2021
ocean-reur750-1227,Ocean REUR750-12 Urbanica 12mm,republicfloor,republicfloor-REUR750-12,22679.6185,100000,61,,,25-05-2021,25-05-2021
arts-district-reur795-826,Laminate Arts District REUR795-8 Urbanica 8.2mm,republicfloor,republicfloor-REUR795-8,18143.6948,100000,48.18,,,25-05-2021,25-05-2021
lincoln-park-reur745-825,Laminate Lincoln Park REUR745-8 Urbanica 8.2mm,republicfloor,republicfloor-REUR745-8,18143.6948,100000,48.18,,,25-05-2021,25-05-2021
sunset-strip-reur765-824,Laminate Sunset Strip REUR765-8 Urbanica 8.2mm,republicfloor,republicfloor-REUR765-8,18143.6948,100000,48.18,,,25-05-2021,25-05-2021
michigan-avenue-reur785-823,Laminate Michigan Avenue REUR785-8 Urbanica 8.2mm,republicfloor,republicfloor-REUR785-8,18143.6948,100000,48.18,,,25-05-2021,25-05-2021
helsinki-rehe4922,Laminate 12.3mm Helsinki REHE49 European Lite Collection,republicfloor,republicfloor-REHE49,22679.6185,100000,55.38,,,25-05-2021,25-05-2021
rome-rero4721,Laminate 12.3mm Rome RERO47 European Lite Collection,republicfloor,republicfloor-RERO47,22679.6185,100000,55.38,,,25-05-2021,25-05-2021
amsterdam-ream4120,Laminate 12.3mm Amsterdam REAM41 European Lite Collection,republicfloor,republicfloor-REAM41,22679.6185,100000,55.38,,,25-05-2021,25-05-2021
milano-remi4419,Laminate 12.3mm Milano REMI44 European Lite Collection,republicfloor,republicfloor-REMI44,22679.6185,100000,55.38,,,25-05-2021,25-05-2021
warmblood-rewa55018,Warmblood REWA550 American Cavalier,republicfloor,republicfloor-REWA550,0,0,0,,,25-05-2021,25-05-2021
mustang-remu53017,Laminate Mustang REMU530 American Cavalier,republicfloor,republicfloor-REMU530,0,0,0,,,25-05-2021,25-05-2021
suddlebred-resu52016,Suddlebred RESU520 American Cavalier,republicfloor,republicfloor-RESU520,0,0,0,,,25-05-2021,25-05-2021
marchador-rema51015,Laminate Marchador REMA510 American Cavalier,republicfloor,republicfloor-REMA510,0,0,0,,,25-05-2021,25-05-2021
morgan-remo50014,Laminate Morgan REMO500 American Cavalier,republicfloor,republicfloor-REMO500,0,0,0,,,25-05-2021,25-05-2021
blue-louise-repw401013,Blue Louise REPW4010,republicfloor,republicfloor-REPW4010,0,0,0,,,25-05-2021,25-05-2021
brazilian-tiger-wood-rebt290-l12,Laminate BRAZILIAN TIGER WOOD REBT290-L Platinum,republicfloor,republicfloor-REBT290-L,20411.65665,100000,51,,,25-05-2021,25-05-2021
natural-acacia-rena280-l11,Laminate NATURAL Acacia RENA280-L Platinum,republicfloor,republicfloor-RENA280-L,20411.65665,100000,51,,,25-05-2021,25-05-2021
new-york-birch-reny250-l10,NEW YORK BIRCH RENY250-L,republicfloor,republicfloor-RENY250-L,0,0,0,,,25-05-2021,25-05-2021
oklahoma-birch-reob230-l9,OKLAHOMA BIRCH REOB230-L,republicfloor,republicfloor-REOB230-L,0,0,0,,,25-05-2021,25-05-2021
golden-apple-rega220-l8,GOLDEN APPLE REGA220-L Platinum,republicfloor,republicfloor-REGA220-L,20411.65665,100000,51,,,25-05-2021,25-05-2021
rustic-apple-rera210-l7,RUSTIC APPLE RERA210-L Platinum,republicfloor,republicfloor-RERA210-L,20411.65665,100000,51,,,25-05-2021,25-05-2021
nightfall-hickory-renh606,Nightfall HIckory RENH60,republicfloor,republicfloor-RENH60,0,0,0,,,25-05-2021,25-05-2021
midnight-hickory-remh205,Midnight Hickory REMH20,republicfloor,republicfloor-REMH20,0,0,0,,,25-05-2021,25-05-2021
dark-wenge-rewjm734,Dark Wenge REWJM73,republicfloor,republicfloor-REWJM73,16329.32532,100000,57.02,,,25-05-2021,25-05-2021
patigonian-rosewood-repepr123,Patigonian Rosewood REPEPR12,republicfloor,republicfloor-REPEPR12,0,0,0,,,25-05-2021,25-05-2021
wild-walnut-repeww2,Wild Walnut REPEWW,republicfloor,republicfloor-REPEWW,0,0,0,,,25-05-2021,25-05-2021
golden-walnut-repegw1,Golden Walnut REPEGW,republicfloor,republicfloor-REPEGW,0,0,0,,,25-05-2021,25-05-2021
coffee-berry-repo400262,Vinyl Coffee Berry REPO4002 The Pacific Oak,republicfloor,republicfloor-REPO4002,22679.6185,100000,78.07,,,25-05-2021,25-05-2021
hardwood-european-oak-miranda-ame-gc22012-grand-chateau,Hardwood European Oak Miranda AME-GC22012 Grand Chateau,johnsonhardwood,johnsonhardwood-AME-GC22012,24947.58035,100000,184.36,,,25-05-2021,25-05-2021
hardwood-european-oak-aydon-ame-gc22011-grand-chateau,Hardwood European Oak Aydon AME-GC22011 Grand Chateau,johnsonhardwood,johnsonhardwood-AME-GC22011,24947.58035,100000,184.36,,,25-05-2021,25-05-2021
hardwood-european-oak-taunton-ame-gc22010-grand-chateau,Hardwood European Oak Taunton AME-GC22010 Grand Chateau,johnsonhardwood,johnsonhardwood-AME-GC22010,24947.58035,100000,184.36,,,25-05-2021,25-05-2021
hardwood-european-oak-dover-ame-gc22009-grand-chateau,Hardwood European Oak Dover AME-GC22009 Grand Chateau,johnsonhardwood,johnsonhardwood-AME-GC22009,24947.58035,100000,184.36,,,25-05-2021,25-05-2021
hardwood-european-oak-malahide-ame-gc22008-grand-chateau,Hardwood European Oak Malahide AME-GC22008 Grand Chateau,johnsonhardwood,johnsonhardwood-AME-GC22008,24947.58035,100000,184.36,,,25-05-2021,25-05-2021
hardwood-european-oak-caerphilly-ame-gc22007-grand-chateau,Hardwood European Oak Caerphilly AME-GC22007 Grand Chateau,johnsonhardwood,johnsonhardwood-AME-GC22007,24947.58035,99998,184.36,,,25-05-2021,25-05-2021
hardwood-european-oak-corvin-ame-gc22006-grand-chateau,Hardwood European Oak Corvin AME-GC22006 Grand Chateau,johnsonhardwood,johnsonhardwood-AME-GC22006,24947.58035,100000,184.36,,,25-05-2021,25-05-2021
hardwood-european-oak-chillon-ame-gc22005-grand-chateau,Hardwood European Oak Chillon AME-GC22005 Grand Chateau,johnsonhardwood,johnsonhardwood-AME-GC22005,24947.58035,100000,184.36,,,25-05-2021,25-05-2021
hardwood-european-oak-alswick-ame-gc22004,Hardwood European Oak Alswick AME-GC22004 Grand Chateau,johnsonhardwood,johnsonhardwood-AME-GC22004,0,0,0,,,25-05-2021,25-05-2021
